t,P
0.0,1288389.3724560512
1.0029264350145473,2614499.4485814497
2.0058528700290945,2464277.134183556
3.0087793050436415,2267892.7648076424
4.011705740058189,2157193.9693819927
5.0146321750727365,2119874.1785407076
6.017558610087283,2036763.2645531592
7.020485045101831,1698051.919755729
8.023411480116378,1517031.104187659
9.026337915130926,1789821.2281132634
10.029264350145473,2583693.4920509104
11.03219078516002,2468017.319831199
12.035117220174566,2536830.402950996
13.038043655189114,2755060.609366729
14.040970090203661,2347788.738398225
15.043896525218209,2345287.723143386
16.046822960232756,2992852.417526927
17.049749395247304,3050817.7301474474
18.05267583026185,2234587.0073973117
19.0556022652764,1943105.6393906623
20.058528700290946,2435692.1223476124
21.061455135305494,2503979.8102018526
22.06438157032004,1764059.208608297
23.06730800533459,1985204.5657077911
24.070234440349132,2135754.57716853
25.07316087536368,2170116.1633995953
26.076087310378227,2523634.445857589
27.079013745392775,2058076.6745150145
28.081940180407322,1973959.7278682678
29.08486661542187,2411977.327627086
30.087793050436417,2215756.5874025943
31.090719485450965,1918498.194683705
32.09364592046551,2459249.080893961
33.096572355480056,2570359.8018673947
34.09949879049461,2545790.9368087994
35.10242522550915,2850341.9686176563
36.1053516605237,2105733.996686509
37.108278095538246,2122159.1687083836
38.1112045305528,2905393.618067857
39.11413096556734,2546314.684669419
40.11705740058189,1996406.565729403
41.119983835596436,2289326.244445279
42.12291027061099,2200604.465736282
43.12583670562553,1762815.2950785845
44.12876314064008,2210260.9657931966
45.131689575654626,2505355.3436998
46.13461601066918,2636899.7156260656
47.13754244568372,2294936.186473408
48.140468880698265,1894149.6152082365
49.143395315712816,2677071.414967436
50.14632175072736,3127803.1590669802
51.14924818574191,3346282.694070514
52.152174620756455,2599379.2955300775
53.155101055771006,2779588.9336037915
54.15802749078555,2966856.010937433
55.1609539258001,1951610.5437602191
56.163880360814645,1973491.1830647243
57.166806795829196,2506627.856656734
58.16973323084374,2232281.1567780445
59.17265966585829,1957962.2456950005
60.175586100872835,2802127.1519638197
61.178512535887386,2779139.2424306395
62.18143897090193,2220916.350196605
63.18436540591648,2008300.7641791536
64.18729184093102,1811237.1573077096
65.19021827594557,1888287.3752621198
66.19314471096011,2219915.262101766
67.19607114597467,2480704.7337088063
68.19899758098921,2307331.515807107
69.20192401600376,2028966.3482580264
70.2048504510183,2000389.584099917
71.20777688603286,2287150.4868959375
72.2107033210474,2636945.4914225508
73.21362975606195,2975983.931837598
74.21655619107649,2513112.9055276467
75.21948262609105,2082622.8316445767
76.2224090611056,2378628.97370706
77.22533549612014,2486755.625964607
78.22826193113468,2333458.7637770697
79.23118836614924,2340528.0611652327
80.23411480116378,2197727.9956270093
81.23704123617833,2040391.822882385
82.23996767119287,2908559.542153404
83.24289410620742,3165420.7297091642
84.24582054122197,2855353.040114788
85.24874697623652,2739001.73199446
86.25167341125106,2714374.533486488
87.2545998462656,3083558.8302172422
88.25752628128016,3105356.614095588
89.26045271629471,3056397.6651139488
90.26337915130925,3254673.223557946
91.2663055863238,3539677.911174711
92.26923202133835,3467873.6019315226
93.2721584563529,2688323.3505819226
94.27508489136744,2214162.6343003213
95.27801132638199,2395759.805616876
96.28093776139653,2382859.293063176
97.28386419641109,2171935.7334849397
98.28679063142563,2502728.5185393887
99.28971706644018,3011807.580216575
100.29264350145472,2660901.2421592153
101.29556993646928,2070883.0316157117
102.29849637148382,2498016.928727084
103.30142280649837,3299249.439771963
104.30434924151291,3166965.453065183
105.30727567652747,2349813.925232654
106.31020211154201,1914083.3251010953
107.31312854655656,2377120.1212100424
108.3160549815711,2392756.880429954
109.31898141658566,2476508.5225904053
110.3219078516002,3002691.979675168
111.32483428661475,2594205.809935339
112.32776072162929,2127558.4339770484
113.33068715664383,2008431.2179426763
114.33361359165839,2122780.4085336686
115.33654002667294,2449373.5372308283
116.33946646168748,2333606.8538894705
117.34239289670202,2225257.418498422
118.34531933171658,2528687.6593240574
119.34824576673113,2972144.0959875975
