t,P
0.0,104291.22503868137
27.992874573820483,833550.6636276848
55.985749147640966,864024.8069005938
83.97862372146145,867819.0902494623
111.97149829528193,142265.04385209392
139.96437286910242,261002.85414043424
167.9572474429229,286640.4668351294
195.9501220167434,294021.91169763135
223.94299659056387,155860.85094018103
251.93587116438434,122661.34649487282
279.92874573820484,129311.72322894227
307.9216203120253,212909.08633423352
335.9144948858458,979839.724294272
363.90736945966626,1827071.9535409592
391.9002440334868,2826860.542773502
419.89311860730726,2354611.699992251
447.88599318112773,1999893.7074269988
475.8788677549482,820039.484241423
503.8717423287687,616697.1317105987
531.8646169025892,491588.1174809744
559.8574914764097,1581978.6204150175
587.8503660502301,2315628.7095871745
615.8432406240506,2041659.923105653
643.8361151978711,979121.9951161342
671.8289897716916,363657.82971883577
699.821864345512,1054707.472566704
727.8147389193325,3577128.047959195
755.807613493153,3846220.8236069204
783.8004880669736,3300778.1732806657
811.793362640794,1121380.1455652388
839.7862372146145,682802.8761954401
867.779111788435,446173.0031510626
895.7719863622555,126712.34677528191
923.7648609360759,158293.90752398584
951.7577355098964,139446.2133996254
979.7506100837169,608862.246225478
1007.7434846575374,590865.6836196666
1035.736359231358,938430.0394433087
1063.7292338051784,878785.2334754668
1091.7221083789989,1392034.426885547
1119.7149829528194,1297628.4869948183
1147.7078575266398,968465.5315183208
1175.7007321004603,488843.7599988892
1203.6936066742808,256488.07899436506
1231.6864812481012,2275825.9258972174
1259.6793558219217,2290628.35360291
1287.6722303957422,2338418.9554984253
1315.6651049695627,533360.5194144498
1343.6579795433831,3045585.0435579396
1371.6508541172036,3603730.5001755483
1399.643728691024,3332215.8220149293
1427.6366032648446,752391.4320424056
1455.629477838665,1183879.0234033898
1483.6223524124855,1112411.0411006925
1511.615226986306,3900353.498278944
1539.6081015601264,2904059.96902042
1567.6009761339471,2943806.3036364983
1595.5938507077676,152710.5906233517
1623.586725281588,92058.83367945763
1651.5795998554086,928745.3634650661
1679.572474429229,941853.570493084
1707.5653490030495,1776017.2374799924
1735.55822357687,1045019.0345845945
1763.5510981506904,1163654.2271426201
1791.543972724511,353907.1799581515
1819.5368472983314,466924.3306807815
1847.5297218721519,312501.5495799657
1875.5225964459723,1684442.1530387588
1903.5154710197928,1845661.4634972103
1931.5083455936133,1864527.1540739657
1959.5012201674338,684386.7852536854
1987.4940947412542,279431.37375794037
2015.4869693150747,261588.72323695934
2043.4798438888952,472572.358581982
2071.472718462716,448231.93908543803
2099.465593036536,758293.7715631041
2127.458467610357,368688.54600516194
2155.451342184177,419521.5845049487
2183.4442167579978,411308.56341816887
2211.437091331818,389611.2106211773
2239.4299659056387,354898.5898836295
2267.422840479459,254850.26888106446
2295.4157150532797,391637.22111735697
2323.4085896271,1034150.3834719211
2351.4014642009206,1149372.2271137869
2379.394338774741,1031682.8692625144
2407.3872133485615,478104.75867998897
2435.380087922382,264736.6853427355
2463.3729624962025,474159.873910847
2491.3658370700227,778784.0116540664
2519.3587116438434,668456.6488830239
2547.351586217664,669450.3852764214
2575.3444607914844,617990.8342454354
2603.337335365305,940646.7913762442
2631.3302099391253,953042.0439775062
2659.323084512946,1232035.0193143052
2687.3159590867663,1874056.7966593974
2715.308833660587,1840872.1175698496
2743.301708234407,1300191.6309982934
2771.294582808228,425504.7133044504
2799.287457382048,543328.9237369634
2827.280331955869,481974.56247046543
2855.273206529689,775943.9954283494
2883.26608110351,658212.1779281392
2911.25895567733,1233927.0032296372
2939.2518302511507,909287.7119473286
2967.244704824971,780672.5766866892
2995.2375793987917,251277.29407099335
3023.230453972612,234243.31388096453
3051.2233285464326,501272.2209061325
3079.216203120253,445742.13808234024
3107.2090776940736,1398220.0368804056
3135.2019522678943,1448549.0524776438
3163.1948268417145,1466078.5228660353
3191.1877014155352,721524.1210553024
3219.1805759893555,365252.1056580341
3247.173450563176,388433.30676209554
3275.1663251369964,616007.0760020601
3303.159199710817,562731.4072224069
3331.1520742846374,493253.28609740746
