t,P
0.0,1062373.572242435
17.98963191327688,1240624.0675440035
35.97926382655376,1425712.6604638714
53.96889573983064,1609255.0665234006
71.95852765310752,1782505.3609727304
89.9481595663844,1962684.3877500147
107.93779147966129,2161231.360735226
125.92742339293817,2143100.766895007
143.91705530621505,2152594.754843947
161.90668721949191,2170736.8883940596
179.8963191327688,2172351.9224713393
197.8859510460457,2172627.90083244
215.87558295932257,2194551.0157561484
233.86521487259944,2196318.95722401
251.85484678587633,2196944.4035907504
269.8444786991532,2201099.153096315
287.8341106124301,2201606.3102044384
305.82374252570696,2203055.9150742255
323.81337443898383,2185188.678233121
341.80300635226075,2176437.750521915
359.7926382655376,2179314.92747863
377.7822701788145,2181271.124003309
395.7719020920914,2166500.5377973774
413.7615340053683,2172763.1606724993
431.75116591864514,2128066.307779897
449.740797831922,2110284.4705259423
467.7304297451989,2111503.111932184
485.7200616584758,1923805.9563670903
503.70969357175267,1925208.504324001
521.6993254850296,1743579.8726769295
539.6889573983065,1751837.469822298
557.6785893115833,1787453.4002003253
575.6682212248602,1781908.3442690645
593.657853138137,1787810.937525012
611.6474850514139,1799213.488118588
629.6371169646908,1776968.201925629
647.6267488779677,1819427.9283189436
665.6163807912446,1850577.4337431167
683.6060127045215,1853107.8306154555
701.5956446177984,2012903.9173945456
719.5852765310752,2026241.7696571639
737.5749084443521,2220475.2948190956
755.564540357629,2216508.6085210834
773.5541722709058,2204132.560108116
791.5438041841828,2203940.427331052
809.5334360974597,2193949.3578257225
827.5230680107366,2190317.1490081092
845.5126999240134,2211872.018354981
863.5023318372903,2201058.1843467806
881.4919637505672,2180734.1769253635
899.481595663844,2169090.7840991374
917.4712275771209,2176768.4515479933
935.4608594903978,2173940.659508361
953.4504914036747,2161722.2842552993
971.4401233169516,2160235.3754290906
989.4297552302285,2155654.185471773
1007.4193871435053,2158014.817148723
1025.4090190567822,2143330.566160434
1043.3986509700592,1962642.6241012707
1061.388282883336,1965355.8569050056
1079.377914796613,1946461.8626398856
1097.3675467098897,1947090.5538038376
1115.3571786231666,1938716.4583708718
1133.3468105364434,1953477.2270754836
1151.3364424497204,1943409.5894824436
1169.3260743629974,1921514.8296516289
1187.315706276274,1918491.3055395156
1205.305338189551,1916957.9147629766
1223.2949701028278,1899552.6349912507
1241.2846020161048,1911146.53933891
1259.2742339293816,2092110.5805397728
1277.2638658426586,2079498.5174728562
1295.2534977559353,2092725.5709065765
1313.2431296692123,2104618.110914555
1331.2327615824893,2118750.570299613
1349.222393495766,2103167.24012319
1367.212025409043,2111093.5846780194
1385.2016573223198,2140581.6531424103
1403.1912892355967,2138069.2323315544
1421.1809211488735,2152012.8778201886
1439.1705530621505,2167590.8644500813
1457.1601849754275,2172575.5715452195
1475.1498168887042,2165189.218489772
1493.1394488019812,2154219.194168517
1511.129080715258,2169778.5110102883
1529.118712628535,2171323.1098451107
1547.1083445418117,1987745.0611540559
1565.0979764550887,2014494.315705195
1583.0876083683656,2016500.2059553147
1601.0772402816424,1826891.7474128695
1619.0668721949194,1648943.9541705835
1637.0565041081961,1630910.251235282
1655.046136021473,1631326.2045467764
1673.0357679347499,1635240.6262200817
1691.0253998480268,1607764.5927909294
1709.0150317613036,1615152.5176769127
1727.0046636745806,1605807.789486684
1744.9942955878576,1587489.8133359377
1762.9839275011343,1770886.2976484704
1780.9735594144113,1760701.29305472
1798.963191327688,1758233.4719843625
1816.952823240965,1942760.6803342192
1834.9424551542418,2134468.361259032
1852.9320870675188,2163336.8443763205
1870.9217189807955,2159368.2590534654
1888.9113508940725,2137831.576765614
1906.9009828073495,2175226.88159004
1924.8906147206262,1999121.7954646633
1942.8802466339032,2000550.3300716772
1960.86987854718,1997407.6138138678
1978.859510460457,1991688.2944410804
1996.8491423737337,1976957.3833816757
2014.8387742870107,1977575.8664545931
2032.8284062002876,1986448.1949763712
2050.8180381135644,1978782.4941372382
2068.807670026841,1782097.4784914167
2086.7973019401184,1601142.6422254366
2104.786933853395,1434810.382160599
2122.776565766672,1251313.4226199102
2140.7661976799486,1251313.4226199102
